date	calories	gsr	heart-rate	skin-temp	steps
2015-02-03 04:22Z	2.1	0.000361807	88	88.5687	0
2015-02-03 04:23Z	1.5	0.000366105	78	88.475	0
2015-02-03 04:24Z	1.6	0.00042851	63	88.475	0
2015-02-03 04:25Z	1.6	0.000406455	79	88.1937	0
2015-02-03 04:26Z	1.2	0.000517117	67	88.25	0
2015-02-03 04:27Z	1.2	0.000519291	68	88.4	0
2015-02-03 04:28Z	1.1	0.00052356	67	88.5687	0
2015-02-03 04:29Z	1.2	0.000532909	65	88.7937	0
2015-02-03 04:30Z	1.1	0.000542346	67	89.0563	0
2015-02-03 04:31Z	1.4	0.000548791	68	89.3375	0
2015-02-03 04:32Z	1.3	0.000567739	71	89.7125	0
2015-02-03 04:33Z	1.2	0.000566492	67	89.825	0
2015-02-03 04:34Z	1.1	0.000567996	65	90.0312	0
2015-02-03 04:35Z	1.2	0.00057092	64	90.1813	0
2015-02-03 04:36Z	1.3	0.000598209	69	90.275	0
2015-02-03 04:37Z	1.1	0.000592149	60	90.5375	0
2015-02-03 04:38Z	1.8	0.000597773	65	90.7812	0
2015-02-03 04:39Z	1.1	0.000603095	59	91.025	0
2015-02-03 04:40Z	1.6	0.000599851	60	91.3063	0
2015-02-03 04:41Z	1.1	0.000609277	64	91.6625	0
2015-02-03 04:42Z	1.1	0.000589275	56	91.8875	0
2015-02-03 04:43Z	1.2	0.0005835	57	92.075	0
2015-02-03 04:44Z	1.1	0.000582414	56	92.2625	0
2015-02-03 04:45Z	1.2	0.000605676	56	92.3	0
2015-02-03 04:46Z	1.1	0.000598081	56	92.375	0
2015-02-03 04:47Z	1.2	0.000595892	55	92.525	0
2015-02-03 04:48Z	1.1	0.00059757	55	92.525	0
2015-02-03 04:49Z	1.2	0.000608626	55	92.525	0
2015-02-03 04:50Z	1.2	0.00060574	55	92.525	0
2015-02-03 04:51Z	1.2	0.000612039	56	92.6	0
2015-02-03 04:52Z	1.2	0.000610548	54	92.6375	0
2015-02-03 04:53Z	1.1	0.000598508	53	92.75	0
2015-02-03 04:54Z	1.2	0.000613366	55	92.75	0
2015-02-03 04:55Z	1.1	0.000601374	54	92.75	0
2015-02-03 04:56Z	1.2	0.000613926	54	92.75	0
2015-02-03 04:57Z	1.1	0.000613391	54	92.75	0
2015-02-03 04:58Z	1.2	0.000603685	54	92.75	0
2015-02-03 04:59Z	1.2	0.00061107	54	92.75	0
2015-02-03 05:00Z	1.2	0.000605449	55	92.75	0
2015-02-03 05:01Z	1.2	0.000618984	53	92.75	0
2015-02-03 05:02Z	1.1	0.000605262	53	92.75	0
2015-02-03 05:03Z	1.2	0.000608633	53	92.75	0
2015-02-03 05:04Z	1.1	0.0006017	54	92.75	0
2015-02-03 05:05Z	1.2	0.000634756	54	92.75	0
2015-02-03 05:06Z	1.1	0.000635554	53	92.75	0
2015-02-03 05:07Z	1.2	0.000622939	53	92.75	0
2015-02-03 05:08Z	1.1	0.000650254	53	92.75	0
2015-02-03 05:09Z	1.2	0.000634639	53	92.75	0
2015-02-03 05:10Z	1.3	0.000720655	53	92.75	0
2015-02-03 05:11Z	1.1	0.000929416	52	92.75	0
2015-02-03 05:12Z	1.2	0.00091402	53	92.9	0
2015-02-03 05:13Z	1.2	0.00095907	53	92.975	0
2015-02-03 05:14Z	1.2	0.000974679	53	92.975	0
2015-02-03 05:15Z	1.1	0.00105696	53	93.0312	0
2015-02-03 05:16Z	1.1	0.00110572	53	93.2	0
2015-02-03 05:17Z	1.2	0.00105549	54	93.275	0
2015-02-03 05:18Z	1.2	0.00107109	54	93.425	0
2015-02-03 05:19Z	1.1	0.00105474	53	93.425	0
2015-02-03 05:20Z	1.2	0.00112447	53	93.65	0
2015-02-03 05:21Z	1.1	0.00113299	54	93.65	0
2015-02-03 05:22Z	1.2	0.00115155	53	93.7063	0
2015-02-03 05:23Z	1.1	0.00117864	54	93.875	0
2015-02-03 05:24Z	1.1	0.00117439	54	93.875	0
2015-02-03 05:25Z	1.1	0.00119106	54	93.875	0
2015-02-03 05:26Z	1.1	0.00120509	53	93.95	0
2015-02-03 05:27Z	1.1	0.00119992	53	94.0813	0
2015-02-03 05:28Z	1.1	0.00122026	53	94.1	0
2015-02-03 05:29Z	1.1	0.00126621	53	94.1	0
2015-02-03 05:30Z	1.1	0.00124575	53	94.1	0
2015-02-03 05:31Z	1.2	0.00134396	53	94.1	0
2015-02-03 05:32Z	1.1	0.00125568	54	94.1	0
2015-02-03 05:33Z	1.1	0.00123407	53	94.1	0
2015-02-03 05:34Z	1.2	0.0013142	54	94.1	0
2015-02-03 05:35Z	1.1	0.00129224	54	94.1375	0
2015-02-03 05:36Z	1.1	0.0012814	54	94.1937	0
2015-02-03 05:37Z	1.2	0.00140391	53	94.1937	0
2015-02-03 05:38Z	1.1	0.00133722	53	94.325	0
2015-02-03 05:39Z	1.2	0.00137419	53	94.325	0
2015-02-03 05:40Z	1.1	0.00138	54	94.325	0
2015-02-03 05:41Z	1.1	0.00142598	53	94.325	0
2015-02-03 05:42Z	1.2	0.00146653	53	94.325	0
2015-02-03 05:43Z	1.1	0.00143542	54	94.325	0
2015-02-03 05:44Z	1.4	0.00141912	54	94.325	0
2015-02-03 05:45Z	1.4	0.00125816	69	94.1188	0
2015-02-03 05:46Z	1.5	0.00116569	70	94.1	0
2015-02-03 05:47Z	1.2	0.00118093	50	94.0062	0
2015-02-03 05:48Z	1.1	0.00114871	51	93.875	0
2015-02-03 05:49Z	1.2	0.00122269	49	93.875	0
2015-02-03 05:50Z	1.1	0.00123266	51	93.8375	0
2015-02-03 05:51Z	1.2	0.0012706	51	93.65	0
2015-02-03 05:52Z	1.1	0.00122409	51	93.65	0
2015-02-03 05:53Z	1.2	0.00126871	51	93.65	0
2015-02-03 05:54Z	1.2	0.00124246	52	93.65	0
2015-02-03 05:55Z	1.1	0.00129383	52	93.65	0
2015-02-03 05:56Z	1.2	0.00123116	51	93.65	0
2015-02-03 05:57Z	1.1	0.00130503	52	93.65	0
2015-02-03 05:58Z	1.2	0.00128496	52	93.65	0
2015-02-03 05:59Z	1.1	0.00130941	52	93.65	0
2015-02-03 06:00Z	1.1	0.00128461	52	93.65	0
2015-02-03 06:01Z	1.2	0.00132008	52	93.65	0
2015-02-03 06:02Z	1.1	0.00137807	52	93.65	0
2015-02-03 06:03Z	1.1	0.00141539	52	93.65	0
2015-02-03 06:04Z	1.1	0.00141508	52	93.65	0
2015-02-03 06:05Z	1.2	0.00140842	52	93.65	0
2015-02-03 06:06Z	1.1	0.00135278	52	93.65	0
2015-02-03 06:07Z	1.2	0.0013571	51	93.65	0
2015-02-03 06:08Z	1.1	0.0014525	51	93.65	0
2015-02-03 06:09Z	1.2	0.00144795	52	93.65	0
